屋号商号, 営業所町名, 営業所住所1, 営業所住所2, 営業所電話番号, 業種業態名称, 営業者氏名, 当初許可年月日, 許可年月日, 許可番号
（有）木藝舎　sato,内一円,,,,飲食店営業（露店）,有限会社　木藝舎,,2015/04/30,30019870
ａｔａｒｉ　ＣＡＦＥ＆ＤＩＮＩＮＧ　新静岡セノバ,葵区鷹匠一丁目,１番１号,新静岡セノバ５Ｆ,054-266-7176,飲食店営業（食堂）,株式会社　エスエルディー,,2015/04/01,30019747
ＢＡＢＯＴＡ,清水区駒越西二丁目,２番９号,,054-334-0573,そうざい製造業,鈴木　真知,,2015/04/09,50009690
Ｂａｒ　Ｂ．Ｂ．,葵区常磐町一丁目,４番地の５,パレス第２ビル２Ｆ,054-251-5907,飲食店営業（バー）,萩田　英,,2015/04/08,30019781
ＣＨＯＵ　ＣＨＯＵ,葵区両替町二丁目,５番地の４,両替町プラザビル６階Ｄ号,,飲食店営業（バー）,望月　信哉,,2015/04/17,30019816
ｃｌｕｂ　Ａｐｐｌｅ,葵区常磐町一丁目,１番地の２,笹本ビル４階,,飲食店営業（バー）,鈴木　智幸,,2015/04/06,30019774
ＤＡＨＬＩＡ,葵区昭和町,６番地の２,アイワンビル４階　４Ｂ号室,054-275-2890,飲食店営業（バー）,株式会社　Ｆｉｒｓｔ　Ｕｎｉｏｎ,,2015/04/30,30019862
ＤＡＰＵＲ　ＢＵＮＤＡ　ＺＩＤＡＮ,内一円,,,,飲食店営業（露店）,フィフィ　アフィヤンティ,,2015/04/30,30019869
Ｄｉｎｉｎｇ＆Ｂａｒ　ＳｔａｙＧｏｌｄ,内一円,,,054-205-1255,飲食店営業（露店）,Glory　株式会社,,2015/04/30,30019867
Ｅ　ＫＯＭＯ　ＭＡＩ,清水区桜が丘町,１番３２号,,,飲食店営業（食堂）,竹下　妃土美,,2015/04/21,50009700
ｇａＮａｐａｔｉ,清水区岡町,１番１号,,,飲食店営業（食堂）,大澤　美弥,,2015/04/22,50009709
