屋号商号, 営業所町名, 営業所住所1, 営業所住所2, 営業所電話番号, 業種業態名称, 営業者氏名, 許可年月日, 許可番号
ＢＡＲエース,葵区両替町二丁目,７番地の２８,レクサスビル６０２,,飲食店営業（バー）,王　彬,2015/10/26,30020409
ｃａｆｅ’　ｐｉａｎｏ,葵区宮ヶ崎町,２３番地　,コーポ宮ヶ崎　１Ｆ　Ｂ,054-221-0272,飲食店営業（バー）,九島　賢太郎,2015/10/14,30020393
ｃｏｍｅ　ｓｅｅ　ｍｅ．（会いに来い）,葵区常磐町一丁目,１番地の５,ジュラシックビル　３階南号,,飲食店営業（バー）,李　欣楠,2015/10/5,30020352
Ｃｏｎｃｈｅ,駿河区高松一丁目,２６番１５号,今井ビル１Ｆ西号,,飲食店営業（食堂）,田中　克典,2015/10/13,30020383
Ｃｏｎｃｈｅ,駿河区高松一丁目,２６番１５号,今井ビル１Ｆ西号,,菓子製造業,田中　克典,2015/10/13,30020382
Ｃｒｏｓｓ　Ｏｖｅｒ,葵区紺屋町,５番地の１３,,054-253-5222,飲食店営業（バー）,相原　健二,2015/10/26,30020410
Ｄｉｏｓａ,葵区両替町二丁目,５番地の２１,ウイッシュ静岡４階,,飲食店営業（バー）,長谷川　大輝,2015/10/5,30020350
ｇａｔｃｈｙ,葵区昭和町,６番地の１２,ＱＵＴビル４階Ａ,054-273-3577,飲食店営業（バー）,古賀　公人,2015/10/14,30020394
Ｇｒｅｅｎ ∞　Ｃａｆｅ,清水区和田島,３４９番地の４,,054-395-2203,喫茶店営業（喫茶店）,有限会社　グリーンエイト,2015/10/28,50009857
ＪＥＴ　ｉｎ　静岡,清水区日の出町,１０番８０号　清水マリンターミナル,清水港湾交流センター　多目的ホール２階,054-355-1122,飲食店営業（季節的食堂）,有限会社　アールズカンパニー,2015/10/16,50009846
ＫＵＳＨＩＴＴＯＲＩＹＡ　横二,葵区昭和町,３番地の２,アーバンビル１Ｆ,054-272-2211,飲食店営業（酒場）,横山　啓人,2015/10/28,30020435
ＭＡＮＩＬＡ,葵区常磐町一丁目,２番地の１０,フレンド・久喜ビル　４階,054-221-8301,飲食店営業（バー）,有限会社　富勝,2015/10/26,30020408
ｍｉｌｅｓｔｏｎｅ,葵区常磐町一丁目,１番地の８,ＰＩＳＡビル　４Ｂ,,飲食店営業（バー）,原田　真希,2015/10/7,30020369
ｍｉｌｋ　ｃｒｏｗｎ　ｃａｆｅ　ａｎｄ　ｂａｒ,清水区真砂町,３番１５号,ｉｃｏｍｆｏｒｔ　１０２,,飲食店営業（バー）,望月　友仁,2015/10/26,50009854
Ｍｏｔｈｅｒ　Ｍｏｏｎ,駿河区小鹿三丁目,１番４１号,,054-285-0605,飲食店営業（食堂）,小田　裕子,2015/10/28,30020438
Ｍｏｔｈｅｒ　Ｍｏｏｎ,駿河区小鹿三丁目,１番４１号,,054-285-0605,菓子製造業,小田　裕子,2015/10/28,30020439
ｐａｔｉｓｓｅｒｉｅ　ｕｎ　ｐｅｕ　ｄｅ,葵区上足洗四丁目,６番１号,ひまわりハイツ１０３,054-200-2177,菓子製造業,望月　美希,2015/10/5,30020349
PIZZERIA　BAR NAPOLI 新静岡ペガサート,葵区御幸町,３番地の２１,ペガサート１Ｆ,054-260-5939,飲食店営業（食堂）,石津興業　株式会社,2015/10/9,30020378
Ｓｕｎａｓｈ,駿河区稲川一丁目,１番３２号,グランドゥール稲川Ⅱ－１Ｆ,054-288-0880,飲食店営業（バー）,浅原　亮真,2015/10/21,30020399
TUNABAR BANNOU‐SUISAN　静岡駅北口けやき通り店,葵区伝馬町,３番地の３,クレストビル地下１階,,飲食店営業（食堂）,株式会社　バンノウ水産,2015/10/13,30020386
ＶＩＰ,清水区巴町,１０番２６号,佐野ビル２階,,飲食店営業（バー）,中山　律子,2015/10/13,50009842
あいネットホール船越,清水区船越南町,７８７番地の５,,054-355-1411,飲食店営業（食堂）,株式会社　スギヤマ・コーポレーション,2015/10/7,50009839
オートバックス静岡中原店,駿河区津島町,１０番２０号,,054-237-1311,喫茶店営業（喫茶店） 注）自販機,株式会社　ジャパンビバレッジホールディングス,2015/10/13,30020389
カローラ,葵区東鷹匠町,２番１７号,近藤ビルＣＤ号室,,飲食店営業（バー）,出口　正代,2015/10/14,30020392
かん吉　清水店,清水区御門台,３番１０号,,054-348-1712,飲食店営業（食堂）,吉田　裕司,2015/10/26,50009851
かん吉　清水店,清水区御門台,３番１０号,,054-348-1712,そうざい製造業,吉田　裕司,2015/10/26,50009852
クラブ　エルフ,葵区昭和町,６番地の２,アイワンビル６階６Ａ号室,,飲食店営業（バー）,大野　勇,2015/10/26,30020407
クラブ　奏,葵区紺屋町,１２番地の５,カプチーノビル４階Ｄ,054-653-3778,飲食店営業（バー）,知名　定秋,2015/10/13,30020387
